Date;BFPD;BOPD;BSW;BWPD;RPM
20/12/2017;341;;100;341;70
21/12/2017;367;72;80,41;295;70
22/12/2017;329;190;42,27;139;70
23/12/2017;318;160;49,64;158;70
24/12/2017;355;168;52,72;187;70
25/12/2017;338;157;53,59;181;70
26/12/2017;337;120;64,31;217;70
27/12/2017;341;124;63,62;217;70
28/12/2017;326;124;62,08;202;70
29/12/2017;342;86;74,89;256;70
30/12/2017;346;94;72,89;252;70
31/12/2017;373;68;81,75;305;80
1/01/2018;382;91;76,23;291;80
2/01/2018;368;78;78,76;290;80
3/01/2018;393;71;82,04;322;80
4/01/2018;391;106;72,88;285;80
5/01/2018;388;106;72,67;282;80
6/01/2018;382;108;71,81;274;80
7/01/2018;437;89;79,65;348;80
8/01/2018;426;105;75,36;321;80
9/01/2018;406;92;77,32;314;80
10/01/2018;423;92;78,2;331;80
11/01/2018;417;103;75,27;314;80
12/01/2018;428;108;74,7;320;80
13/01/2018;438;112;74,53;326;90
14/01/2018;457;101;77,9;356;90
15/01/2018;444;100;77,49;344;90
16/01/2018;437;115;73,76;322;90
17/01/2018;445;118;73,45;327;90
18/01/2018;378;92;75,6;286;90
19/01/2018;447;105;76,55;342;90
20/01/2018;502;124;75,28;378;90
21/01/2018;411;115;72,04;296;90
22/01/2018;425;123;71,05;302;90
23/01/2018;475;132;72,23;343;90
24/01/2018;408;97;76,25;311;90
25/01/2018;424;94;77,78;330;90
26/01/2018;429;82;80,9;347;90
27/01/2018;408;70;82,83;338;90
28/01/2018;434;77;82,36;357;90
30/01/2018;408;99;75,75;309;90
31/01/2018;435;110;74,72;325;90
1/02/2018;456;108;76,3;348;90
2/02/2018;438;114;73,99;324;90
3/02/2018;467;136;70,92;331;90
4/02/2018;450;144;68,05;306;90
5/02/2018;434;140;67,73;294;90
6/02/2018;406;130;67,98;276;90
7/02/2018;416;119;71,33;297;90
8/02/2018;405;112;72,32;293;90
9/02/2018;451;107;76,21;344;90
10/02/2018;359;80;77,72;279;90
11/02/2018;401;91;77,26;310;90
12/02/2018;444;98;77,94;346;90
13/02/2018;444;117;73,6;327;90
14/02/2018;416;119;71,48;297;90
15/02/2018;479;150;68,72;329;90
16/02/2018;485;151;68,9;334;90
17/02/2018;420;120;71,52;300;90
18/02/2018;393;116;70,48;277;90
19/02/2018;412;115;72,12;297;90
20/02/2018;391;106;72,86;285;90
26/02/2018;413;109;73,69;304;90
27/02/2018;435;111;74,54;324;90
28/02/2018;440;113;74,29;327;90
1/03/2018;414;127;69,31;287;90
2/03/2018;429;142;66,96;287;90
3/03/2018;414;130;68,55;284;90
